"_id"	"attrs"	"name"	"price"	"sku"	"spu"	"words"
"60e99521a2357c3031c36cb7"	"[ ""Intel奔腾/赛扬 内存8GB 集成显卡 三年质保"", ""Intel奔腾/赛扬"", ""内存8GB"", ""集成显卡"", ""三年质保"" ]"	"AOC品牌台式电脑商务办公设计家用网课游戏主机十代四核i3i5i7八核电脑高清屏幕整机全套 十代奔腾G6400/8G/256G固态 主机+21.5″显示器"	"3099"	"48906959285"	"13136056604"	"【AOC电脑限时优惠购】酷睿十代i3i5,游戏办公两不误！【365天上门服务.售后无忧】全场3期免息起！AOC品牌一体机关注享粉丝价！"
"60e99521a2357c3031c36cb8"	"[ ""Intel i3 内存8GB 上门服务"", ""Intel i3"", ""内存8GB"", ""上门服务"" ]"	"DELL戴尔3080MFF 微型台式电脑迷你小主机 小型台式机商用办公游戏MINI客厅 整机配23.8英寸护眼全面屏U2422H i3-10100T/8G/128G固态/定制版"	"4399"	"23626122871"	"11066455789"	"【优惠继续享，多购多优惠】部分产品限时抢200/300/600神券！包含13%专票！全国联保！下单享多重豪礼！详情联系在线客服.点我领300元券点我领300元券"
"60e99521a2357c3031c36cb9"	"[ ""内存8GB 上门服务"", ""内存8GB"", ""上门服务"" ]"	"DELL戴尔3080MFF 微型台式电脑迷你小主机 小型台式机商用办公游戏MINI客厅 整机配23.8英寸IPS升降P2422H G6405T/8G/256G固态/定制版"	"3899"	"22323261958"	"11066455789"	"【优惠继续享，多购多优惠】部分产品限时抢200/300/600神券！包含13%专票！全国联保！下单享多重豪礼！详情联系在线客服.点我领300元券点我领300元券"
"60e99521a2357c3031c36cba"	"[ ""内存4GB 三年质保"", ""内存4GB"", ""三年质保"" ]"	"DELL戴尔3080MFF 微型台式电脑迷你小主机 小型台式机商用办公游戏MINI客厅 整机配19.5英寸高清显示器 G6405T/4G/128G固态/定制版"	"2999"	"20892538761"	"11066455789"	"【优惠继续享，多购多优惠】部分产品限时抢200/300/600神券！包含13%专票！全国联保！下单享多重豪礼！详情联系在线客服.点我领300元券点我领300元券"
"60e99521a2357c3031c36cbb"	"[ ""Intel i3 内存8GB 7*24H咨询"", ""Intel i3"", ""内存8GB"", ""7*24H咨询"" ]"	"戴尔(DELL)灵越3891台式机11代CPUi3i5迷你机箱办公商用家用游戏炒股整机21年新上市 主机+23.8英寸高清显示器 10代i3-10105 8G 1T 256G 定制"	"4099"	"10029435742365"	"10020910285633"	"【夏季狂欢领好礼】全店享三期免息，享受15天价保，买贵包赔，关注店铺送32GU盘，下单直送199元豪礼，企业购享大额红包更有晒单红包！撩客服享豪礼查看"
"60e99521a2357c3031c36cbc"	"[ ""Intel i5 内存16GB"", ""Intel i5"", ""内存16GB"" ]"	"联想（Lenovo）启天M435 I5-10500 16G 1T 128GSSD 2G独显 DVDRW W10 单主机（改配 支持win7系统）"	"5199"	"100011607281"	"100011607281"	"联想（Lenovo）启天M435 I5-10500 16G 1T 128GSSD 2G独显 DVDRW W10 单主机（改配 支持win7系统）"
"60e99521a2357c3031c36cbd"	"[ ""Intel i7 内存16GB 三年质保"", ""Intel i7"", ""内存16GB"", ""三年质保"" ]"	"联想(Lenovo)扬天T4900v 英特尔酷睿i7八核 高性能设计商务家用办公台式电脑整机带光驱 定制 i7-9700/16G/1T+512G固态 27英寸IPS全高清窄边框 2G独显"	"9099"	"10031652195952"	"14413743790"	"下单立减600元，再送联想原装键盘鼠标，八核酷睿i7，大机箱散热强劲，内置光驱，预装正版office杜绝盗版死机，全国上门联保三年，足不出户，高枕无忧！"
"60e99521a2357c3031c36cbe"	"[ ""Intel i9 内存32GB RX550 三年质保"", ""Intel i9"", ""内存32GB"", ""RX550"", ""三年质保"" ]"	"戴尔台式机 OptiPlex7080MT 十代i7 i9商用绘图设计3D渲染建模台式机电脑7070升 带27英寸IPS窄边升降旋转显示器(设计) i9-10900丨32G丨2T+512G丨4G独显"	"11499"	"31807151928"	"11889117110"	"戴尔台式机 OptiPlex7080MT 十代i7 i9商用绘图设计3D渲染建模台式机电脑7070升 带27英寸IPS窄边升降旋转显示器(设计) i9-10900丨32G丨2T+512G丨4G独显"
"60e99521a2357c3031c36cbf"	"[ ""Intel i7 内存16GB 上门服务"", ""Intel i7"", ""内存16GB"", ""上门服务"" ]"	"戴尔DELL OptiPlex 7080MT I7商用办公设计台式机7070游戏主机台式电脑整机 23.8英寸全高清微边框屏E2420H 定制:I7-10700/16G/1T"	"6499"	"25838292116"	"10879264126"	"【7月嗨购节，低价来袭】部分产品限时抢400元券，【爆款7080MT/i7/16G/1T/256G/到手价5099元】含13%专票！全国联保！下单前请咨询客服"
"60e99521a2357c3031c36cc0"	"[ ""Intel i5 内存16GB 集成显卡 上门服务"", ""Intel i5"", ""内存16GB"", ""集成显卡"", ""上门服务"" ]"	"戴尔（DELL）成就3881酷睿十代i3/i5商用办公台式机电脑家用迷你财务炒股游戏设计美工制图整机 主机+21.5英寸高清显示器 i5-10400 16G 512G固态硬盘 定制"	"4748"	"28786058813"	"1310499236"	"搭载十代处理器性能强劲，内置WIFI蓝牙,三年保修,企业购咨询客服更优惠,EPA电源更加节能.含增值税发票,独显高配版猛戳独显高配版猛戳"
